0134000004 - САД "КИС",01,02,03,05,10,18,20,30,40,50,60,70,80,88,89,90,91,92,93,94,95,96,97,98,99,sum
2013-11-01,,,,,3417802.97,,,,,,,,,,,,,,,,,,,,,3417802.97
2013-11-08,37870,,,,2808.49,,,,,,,,,,,,,,,,,,,,,40678.49
2013-11-18,26711.64,,,,29164.93,,,,,,,,,,,,,,,,,,,,,55876.57
2013-11-20,,,,,12808.8,,,,,,,,,,,,,,,,,,,,,12808.8
2013-11-21,300,,,,1161.65,,,,,,,,,,,,,,,,,,,,,1461.65
2013-11-22,287271.94,,7215.23,,,,,,,,,,,,,,,,,,,,,-10990.19,,283496.98
2013-12-16,,,,,508.52,,,,,,,,,,,,,,,,,,,,,508.52
2013-12-17,428816.03,,6853.65,,,,,,,,,,,,,,,,,,,,,,,435669.68
2013-12-18,,,,,1644.7,,,,,,,,,,,,,,,,,,,,,1644.7
2013-12-19,8404.2,,,,130744.02,,,,,,,,,,,,,,,,,,,,,139148.22
2013-12-20,380.16,,,,,,,,,,,,,,,,,,,,,,,,,380.16
2014-01-08,32220,,,,,,,,,,,,,,,,,,,,,,,,,32220
2014-01-09,,,,,3866.62,,,,,,,,,,,,,,,,,,,,,3866.62
2014-01-22,,,,,,,,,,,,,,,,,,,,,,,,-2015.32,,-2015.32
2014-01-23,303314.14,,6958.77,,,,,,,,,,,,,,,,,,,,,,,310272.91
